race_year,race_circuit,race_country,race_altitude_m,team,race_start_position,qualifying_position,quali_lap_time_s,laps_completed,driver_pit_stops_count,driver_pit_stops_avg_duration_s,race_pit_stops_count,race_pit_stops_avg_duration_s,race_pit_stops_max_duration_s,race_pit_stops_min_duration_s,race_avg_laps_before_pit_stop,top3_finish
2011,Istanbul Park,Turkey,130,McLaren,6.0,6.0,87.374,58,3.0,21.808000000000003,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Renault,9.0,9.0,87.901,58,4.0,21.74375,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Renault,7.0,7.0,87.475,58,4.0,21.56125,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Toro Rosso,16.0,16.0,87.62,58,3.0,21.976333333333333,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Sauber,24.0,24.0,88.158,58,3.0,22.577,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Ferrari,10.0,10.0,87.013,58,4.0,23.375,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Mercedes,8.0,8.0,87.697,58,4.0,23.01625,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Force India,12.0,12.0,87.392,57,3.0,21.246333333333336,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Sauber,15.0,15.0,87.77799999999999,57,4.0,24.06125,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Williams,11.0,11.0,88.246,57,3.0,22.424,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Toro Rosso,17.0,17.0,88.055,57,4.0,22.114,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Williams,14.0,14.0,87.396,57,4.0,20.547,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Lotus,19.0,19.0,89.673,57,3.0,22.715666666666664,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Lotus,18.0,18.0,88.78,56,3.0,22.533666666666665,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Virgin,23.0,20.0,90.445,56,2.0,23.808,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,HRT,22.0,23.0,91.564,55,3.0,25.59633333333333,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,HRT,20.0,21.0,90.692,53,4.0,37.49325,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Istanbul Park,Turkey,130,Force India,13.0,13.0,87.625,44,4.0,20.99875,82.0,22.988134057971013,56.611,13.925,27.14855072463768,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Red Bull,2.0,2.0,84.142,66,4.0,20.2145,77.0,21.643159722222222,29.936,19.534,28.17361111111111,1
2011,Circuit de Barcelona-Catalunya,Spain,109,McLaren,3.0,3.0,84.37,66,4.0,20.36425,77.0,21.643159722222222,29.936,19.534,28.17361111111111,1
2011,Circuit de Barcelona-Catalunya,Spain,109,McLaren,5.0,5.0,84.428,66,3.0,20.295,77.0,21.643159722222222,29.936,19.534,28.17361111111111,1
2011,Circuit de Barcelona-Catalunya,Spain,109,Red Bull,1.0,1.0,83.619,66,4.0,20.30575,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Ferrari,4.0,4.0,83.485,65,4.0,20.48075,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Mercedes,10.0,10.0,82.96000000000001,65,3.0,20.340666666666667,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Mercedes,7.0,7.0,83.507,65,3.0,20.192,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Renault,24.0,24.0,79.646,65,3.0,21.357,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Sauber,12.0,12.0,84.209,65,3.0,22.188,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Sauber,14.0,14.0,83.656,65,3.0,22.16633333333333,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Renault,6.0,6.0,83.069,65,3.0,22.609,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Force India,16.0,16.0,84.332,65,3.0,20.25633333333333,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Force India,17.0,17.0,84.648,65,3.0,21.42333333333333,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Toro Rosso,11.0,11.0,83.962,65,3.0,22.127333333333336,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Williams,9.0,9.0,83.406,65,4.0,22.79025,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Toro Rosso,13.0,13.0,84.049,64,4.0,21.44375,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Williams,19.0,19.0,86.91,64,4.0,23.11225,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Lotus,18.0,18.0,86.521,64,3.0,22.362666666666662,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Virgin,20.0,20.0,87.315,63,3.0,21.84866666666667,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Virgin,23.0,23.0,88.556,62,3.0,22.622,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,HRT,22.0,22.0,87.908,61,3.0,24.529666666666667,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Ferrari,8.0,8.0,83.506,58,3.0,21.618,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,Lotus,15.0,15.0,85.874,48,3.0,21.63133333333333,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Barcelona-Catalunya,Spain,109,HRT,21.0,21.0,87.809,28,1.0,23.157,77.0,21.643159722222222,29.936,19.534,28.17361111111111,0
2011,Circuit de Monaco,Monaco,7,Red Bull,1.0,1.0,75.606,78,1.0,28.536,43.0,27.833333333333332,47.226,19.347,34.34782608695652,1
2011,Circuit de Monaco,Monaco,7,Ferrari,4.0,4.0,76.051,78,2.0,28.367,43.0,27.833333333333332,47.226,19.347,34.34782608695652,1
2011,Circuit de Monaco,Monaco,7,McLaren,2.0,2.0,75.397,78,3.0,25.457000000000004,43.0,27.833333333333332,47.226,19.347,34.34782608695652,1
2011,Circuit de Monaco,Monaco,7,Red Bull,3.0,3.0,76.087,78,2.0,32.001999999999995,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Sauber,12.0,13.0,76.513,78,1.0,28.642,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,McLaren,9.0,7.0,75.207,78,3.0,25.923,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Force India,14.0,15.0,76.6,77,2.0,26.458,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Renault,15.0,16.0,76.681,77,2.0,26.066,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Williams,11.0,12.0,76.616,77,2.0,25.798,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Toro Rosso,16.0,17.0,76.358,77,2.0,25.559,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Mercedes,7.0,8.0,75.858,76,3.0,25.205,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Force India,13.0,14.0,76.813,76,3.0,30.518666666666665,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Lotus,18.0,19.0,77.381,76,2.0,25.83,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Lotus,17.0,18.0,77.343,76,2.0,26.1775,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Virgin,21.0,22.0,78.736,75,2.0,27.0205,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,HRT,23.0,24.0,75.397,75,1.0,28.298,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,HRT,22.0,23.0,79.392,74,2.0,34.121,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Williams,8.0,9.0,75.819,73,2.0,26.0775,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Renault,10.0,11.0,76.378,67,1.0,28.856,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Toro Rosso,19.0,20.0,77.82,66,2.0,26.7285,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Ferrari,6.0,6.0,76.309,32,1.0,26.615,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Mercedes,5.0,5.0,76.092,32,1.0,35.084,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit de Monaco,Monaco,7,Virgin,20.0,21.0,77.914,30,1.0,26.827,43.0,27.833333333333332,47.226,19.347,34.34782608695652,0
2011,Circuit Gilles Villeneuve,Canada,13,McLaren,7.0,7.0,74.374,70,6.0,23.511166666666668,75.0,26.069177536231884,51.684,14.501,35.65797101449275,1
2011,Circuit Gilles Villeneuve,Canada,13,Red Bull,1.0,1.0,74.011,70,3.0,23.118666666666662,75.0,26.069177536231884,51.684,14.501,35.65797101449275,1
2011,Circuit Gilles Villeneuve,Canada,13,Red Bull,4.0,4.0,74.375,70,3.0,24.906,75.0,26.069177536231884,51.684,14.501,35.65797101449275,1
2011,Circuit Gilles Villeneuve,Canada,13,Mercedes,8.0,8.0,74.97,70,4.0,23.59225,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Renault,10.0,10.0,74.699,70,2.0,23.9805,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Ferrari,3.0,3.0,74.026,70,4.0,24.6335,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Sauber,13.0,13.0,75.694,70,2.0,24.1525,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Toro Rosso,24.0,18.0,76.294,70,3.0,24.74866666666667,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Williams,16.0,16.0,75.331,70,4.0,24.0285,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Toro Rosso,15.0,15.0,75.901,70,4.0,24.78225,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Mercedes,6.0,6.0,74.92,70,4.0,22.882,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Sauber,17.0,17.0,76.229,70,2.0,27.1635,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,HRT,20.0,21.0,78.424,69,3.0,31.79233333333333,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,HRT,22.0,23.0,78.574,69,2.0,29.3275,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Virgin,23.0,24.0,79.414,69,5.0,24.9094,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Virgin,21.0,22.0,78.537,69,2.0,24.752,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Lotus,18.0,19.0,76.745,69,3.0,33.385333333333335,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Force India,11.0,11.0,74.874,67,4.0,22.194,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Williams,12.0,12.0,75.58500000000001,61,5.0,25.501600000000003,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Renault,9.0,9.0,75.096,55,2.0,23.2385,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Force India,14.0,14.0,74.931,49,4.0,23.49725,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Ferrari,2.0,2.0,73.822,36,3.0,25.456666666666667,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
2011,Circuit Gilles Villeneuve,Canada,13,Lotus,19.0,20.0,76.786,28,1.0,44.037,75.0,26.069177536231884,51.684,14.501,35.65797101449275,0
