raceId,max_pit_duration,mean_pit_duration,min_pit_duration,total_pit_stops,year,round,circuitId,race_name,date,circuit_name,country,alt,lat,lng,avg_stop_lap,num_stops,avg_grid_top3,total_pit_stops_winner
890,22.161,21.76325,21.343,8,2013,10,11,Hungarian Grand Prix,2013-07-28,Hungaroring,Hungary,264,47.5789,19.2486,30.625,8,3.0,3.0
891,23.397,22.787166666666664,22.444,6,2013,11,13,Belgian Grand Prix,2013-08-25,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,20.33333333333333,6,4.0,2.0
892,24.305,24.23933333333333,24.205,3,2013,12,14,Italian Grand Prix,2013-09-08,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,24.33333333333333,3,2.6666666666666665,1.0
893,33.013,29.8025,28.787,6,2013,13,15,Singapore Grand Prix,2013-09-22,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,22.5,6,7.0,2.0
894,23.236,22.8405,22.519,6,2013,14,35,Korean Grand Prix,2013-10-06,Korean International Circuit,Korea,0,34.7333,126.417,19.83333333333333,6,4.333333333333333,2.0
895,23.617,23.09171428571429,22.774,7,2013,15,22,Japanese Grand Prix,2013-10-13,Suzuka Circuit,Japan,45,34.8431,136.541,24.285714285714285,7,2.333333333333333,2.0
896,24.0,23.7592,23.568,5,2013,16,68,Indian Grand Prix,2013-10-27,Buddh International Circuit,India,194,28.3487,77.5331,16.0,5,6.666666666666667,2.0
897,22.275,21.6575,21.175,6,2013,17,24,Abu Dhabi Grand Prix,2013-11-03,Yas Marina Circuit,UAE,3,24.4672,54.6031,22.5,6,2.0,2.0
898,24.086,23.833,23.537,3,2013,18,69,United States Grand Prix,2013-11-17,Circuit of the Americas,USA,161,30.1328,-97.6411,28.0,3,2.0,1.0
899,32.899,25.43766666666667,22.51,6,2013,19,18,Brazilian Grand Prix,2013-11-24,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,34.833333333333336,6,2.6666666666666665,2.0
900,24.331,23.0395,22.273,6,2014,1,1,Australian Grand Prix,2014-03-16,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,23.666666666666668,6,5.666666666666667,2.0
901,25.296,24.821555555555555,24.432,9,2014,2,2,Malaysian Grand Prix,2014-03-30,Sepang International Circuit,Malaysia,18,2.76083,101.738,32.0,9,2.0,3.0
902,25.146,24.8375,24.687,6,2014,3,3,Bahrain Grand Prix,2014-04-06,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,28.666666666666668,6,2.333333333333333,2.0
903,23.999,23.176,22.776,6,2014,4,17,Chinese Grand Prix,2014-04-20,Shanghai International Circuit,China,5,31.3389,121.22,24.83333333333333,6,3.333333333333333,2.0
904,23.59,22.483833333333333,21.83,6,2014,5,4,Spanish Grand Prix,2014-05-11,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,31.0,6,2.0,2.0
905,27.509,26.255,24.672,3,2014,6,6,Monaco Grand Prix,2014-05-25,Circuit de Monaco,Monaco,7,43.7347,7.42056,26.0,3,2.0,1.0
906,25.102,23.851333333333333,23.274,6,2014,7,7,Canadian Grand Prix,2014-06-08,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,27.166666666666668,6,3.333333333333333,2.0
907,22.555,21.876666666666665,21.133,6,2014,8,70,Austrian Grand Prix,2014-06-22,Red Bull Ring,Austria,678,47.2197,14.7647,26.5,6,4.666666666666667,2.0
908,29.679,29.13925,28.483,4,2014,9,9,British Grand Prix,2014-07-06,Silverstone Circuit,UK,153,52.0786,-1.01694,27.75,4,9.333333333333334,1.0
909,20.257,20.01842857142857,19.71,7,2014,10,10,German Grand Prix,2014-07-20,Hockenheimring,Germany,103,49.3278,8.56583,32.714285714285715,7,7.666666666666667,2.0
910,23.8,22.752857142857145,21.634,7,2014,11,11,Hungarian Grand Prix,2014-07-27,Hungaroring,Hungary,264,47.5789,19.2486,25.571428571428573,7,10.333333333333334,3.0
911,29.997,23.979714285714287,22.675,7,2014,12,13,Belgian Grand Prix,2014-08-24,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,19.857142857142858,7,4.0,3.0
912,24.583,24.453,24.323,3,2014,13,14,Italian Grand Prix,2014-09-07,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,24.0,3,2.333333333333333,1.0
913,31.04,29.642857142857142,28.733,7,2014,14,15,Singapore Grand Prix,2014-09-21,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,23.857142857142858,7,2.6666666666666665,3.0
914,24.862,23.88883333333333,23.443,6,2014,15,22,Japanese Grand Prix,2014-10-05,Suzuka Circuit,Japan,45,34.8431,136.541,22.666666666666668,6,4.0,3.0
915,33.82,31.562,30.363,3,2014,16,71,Russian Grand Prix,2014-10-12,Sochi Autodrom,Russia,2,43.4057,39.9578,18.0,3,2.0,1.0
916,24.513,24.325666666666667,24.04,6,2014,17,69,United States Grand Prix,2014-11-02,Circuit of the Americas,USA,161,30.1328,-97.6411,23.83333333333333,6,2.6666666666666665,2.0
917,30.084,24.554111111111112,22.874,9,2014,18,18,Brazilian Grand Prix,2014-11-09,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,27.77777777777778,9,2.0,3.0
